report_id,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,17386.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(166, 745, 246, 771)","+17,386"
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,1273.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(249, 745, 329, 771)","+1,273"
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-9513.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(332, 745, 412, 771)","-9,513"
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,36.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(166, 773, 246, 799)",+36
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-194.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(249, 773, 329, 799)",-194
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,-201.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(332, 773, 412, 799)",-201
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,2907.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(166, 830, 246, 856)","+2,907"
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-3103.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(249, 830, 329, 856)","-3,103"
130a2dd9-6aab-4357-ba2b-3de53938a2b8,2025-07-24,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,77.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-25.png:(332, 830, 412, 856)",+77
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,2106.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(166, 745, 246, 771)","+2,106"
