png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-3411.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 745, 412, 771)","-3,411"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,420.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 773, 246, 799)",+420
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,323.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 773, 329, 799)",+323
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,-739.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 773, 412, 799)",-739
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,3128.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 801, 246, 827)","+3,128"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-2489.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 801, 329, 827)","-2,489"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-486.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 801, 412, 827)",-486
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-4012.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 830, 246, 856)","-4,012"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,3876.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 830, 329, 856)","+3,876"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,109.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 830, 412, 856)",+109
